"y_variable","x_variable","Term","Estimate","Lower","Upper"
"obese_bmi","race","(Intercept)",0.36173913043584,0.336837339313843,0.38817617349557
"obese_bmi","race","raceBlack",1.26104128810544,1.13291203283116,1.40351370233911
"obese_bmi","race","raceAsian",0.33327191212976,0.27957307492425,0.395186784673431
"obese_bmi","race","raceHispanic",1.1788437559927,1.06470263274453,1.30523767160401
"obese_bmi","sex","(Intercept)",0.309419837804888,0.291854518259828,0.327847113511416
"obese_bmi","sex","sexFemale",1.38355941435773,1.2772890794581,1.49885796389393
"obese_bmi","age","(Intercept)",0.12205367592509,0.111339329085796,0.133511275906136
"obese_bmi","age","age20_39",4.09164046980946,3.65515173780529,4.58573411054189
"obese_bmi","age","age40_59",5.53413681566909,4.95347191453824,6.19113775457535
"obese_bmi","smoke","(Intercept)",0.169945355191255,0.150431793286396,0.191333894250844
"obese_bmi","smoke","smokePast",3.81210455346994,3.23079896334036,4.5040684617444
"obese_bmi","smoke","smokeSmoker",3.21148981779237,2.75169675046983,3.75438125318194
"obese_bmi","edu","(Intercept)",0.619767441860431,0.556025031282676,0.690185306535149
"obese_bmi","edu","eduHighSchool",1.02605050775783,0.886234630281238,1.18812020210502
"obese_bmi","edu","eduSomeCollege",1.09023869084845,0.952518262023802,1.2484077633725
"obese_bmi","edu","eduCollegePlus",0.579208158947153,0.500610737084971,0.670028461715751
"obese_bmi","income","(Intercept)",0.382866556837904,0.357710944334559,0.409512145032316
"obese_bmi","income","income35k_75k",1.02125624517033,0.923498725700586,1.12920908359867
"obese_bmi","income","income75k+",0.700090494524798,0.623020313698151,0.785981814156462
"obese_wc","race","(Intercept)",0.640821458507928,0.600876062154419,0.683216481151058
"obese_wc","race","raceBlack",0.937378786054738,0.847975619998171,1.0360358894816
"obese_wc","race","raceAsian",0.339033047184173,0.293478821367266,0.390589566044332
"obese_wc","race","raceHispanic",1.00568689100643,0.915518703049202,1.10469172545617
"obese_wc","sex","(Intercept)",0.343790012805096,0.324783648229783,0.363718555499419
"obese_wc","sex","sexFemale",2.6121451150878,2.42181174275349,2.81820154687623
"obese_wc","age","(Intercept)",0.157160048134942,0.144592086021483,0.170537834566408
"obese_wc","age","age20_39",4.76255539063676,4.29044547017712,5.29163221001339
"obese_wc","age","age40_59",8.93220322606408,8.04888255010065,9.92353990547354
"obese_wc","smoke","(Intercept)",0.222729868646455,0.199318872453499,0.248255057582035
"obese_wc","smoke","smokePast",5.20114662333092,4.44851342203336,6.08967974570836
"obese_wc","smoke","smokeSmoker",4.33247573518782,3.75216500941469,5.00980873111036
"obese_wc","edu","(Intercept)",1.13978494623656,1.0260164635959,1.26647453223005
"obese_wc","edu","eduHighSchool",0.958636624844363,0.830960841542159,1.10585434953142
"obese_wc","edu","eduSomeCollege",1.08107447681215,0.947013978899736,1.23402546917501
"obese_wc","edu","eduCollegePlus",0.581611742740476,0.506936109957584,0.667048733277812
"obese_wc","income","(Intercept)",0.599466463414626,0.563052444446838,0.638027056820344
"obese_wc","income","income35k_75k",1.02426137353692,0.933244569161261,1.12408671652308
"obese_wc","income","income75k+",0.719014251928675,0.647345785793831,0.798227643952472
"obese_dxa","race","(Intercept)",0.526911076443167,0.493197581268726,0.562676338017807
"obese_dxa","race","raceBlack",0.825708610778619,0.743728529440618,0.916414124660774
"obese_dxa","race","raceAsian",0.66448772902813,0.583342009318692,0.755887863920813
"obese_dxa","race","raceHispanic",1.25787960683719,1.14399050491641,1.38317955852421
"obese_dxa","sex","(Intercept)",0.572677322677336,0.543957244742968,0.602769682145921
"obese_dxa","sex","sexFemale",0.805187198048407,0.747272591719935,0.867523528486359
"obese_dxa","age","(Intercept)",0.368241320433618,0.345394376445056,0.392353753682911
